0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,angle,yarnwidth,yarnheight,space,epoxy_e,epoxy_v,epoxy_CLTE,fibre_diameter (mm),fibre_num,fibre_e1,fibre_e2,fibre_e3,fibre_g12,fibre_g23,fibre_g13,fibre_v1,fibre_v2,fibre_v3,fibre_CLTE1,fibre_CLTE2,fibre_CLTE3,E1,E2,E3,G12,G23,G13,v12,v23,v13,CLTE1,CLTE2,CLTE3
1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0.930718299,0.299814785,1.826908781,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,36364000000,36484000000,33715000000,12257000000,10750000000,10791000000,0.299,0.3631,0.3649,3.50E-05,3.47E-05,4.92E-05
0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0.943024207,0.169795009,1.561725422,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41152000000,41163000000,38000000000,14164000000,11598000000,11625000000,0.2825,0.344,0.3442,2.94E-05,2.94E-05,4.66E-05
1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0.377985232,0.288842768,0.573645803,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41462000000,41109000000,39099000000,13607000000,13474000000,13473000000,0.2892,0.3385,0.3335,3.02E-05,3.08E-05,3.68E-05
0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.253313587,0.233449261,0.416160698,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40554000000,40110000000,38289000000,13163000000,13304000000,13231000000,0.294,0.3423,0.3356,3.15E-05,3.19E-05,3.72E-05
0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0.927315569,0.309431686,1.573748879,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40099000000,40092000000,37019000000,13622000000,11890000000,11940000000,0.2844,0.3504,0.3503,3.06E-05,3.07E-05,4.48E-05
1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0.307343421,0.350492242,0.59624166,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,37260000000,36869000000,35507000000,11973000000,12330000000,12326000000,0.3101,0.3511,0.3451,3.54E-05,3.62E-05,3.95E-05
0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0.6040161,0.103383216,0.909000608,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,42199000000,42175000000,39057000000,14514000000,11941000000,11977000000,0.2797,0.3388,0.3387,2.84E-05,2.86E-05,4.50E-05
1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0.715819492,0.124761894,1.311014376,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,39613000000,39544000000,36499000000,13622000000,11075000000,11103000000,0.2885,0.3512,0.3504,3.08E-05,3.11E-05,4.91E-05
1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0.452901176,0.288632656,0.726371122,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40840000000,40551000000,38240000000,13618000000,12949000000,12963000000,0.2889,0.3434,0.3392,3.05E-05,3.09E-05,3.94E-05
1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0.560498914,0.237761389,0.939849908,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40037000000,39956000000,37044000000,13504000000,12193000000,12215000000,0.2856,0.3506,0.3494,3.08E-05,3.09E-05,4.32E-05
